WorkOrderID,Timestamp,ProductID,ProcessStep,MachineID,InputWeight_kg,GoodWeight_kg,ScrapWeight_kg,DurationHrs,EnergyConsumed_kWh,LossRateAssumed
WO-2024-CS-00949,2024-02-18,P-CS-BS-003,盤元進料/酸洗,盤元-M5,7575.5,7537.62,37.88,10.4,119.89,0.005
WO-2024-CS-00949,2024-02-18,P-CS-BS-003,抽線,抽線-M1,7537.62,7424.56,113.06,22.2,719.35,0.015
WO-2024-CS-00949,2024-02-18,P-CS-BS-003,成型,成型-M2,7424.56,7201.82,222.74,38,1079.02,0.03
WO-2024-CS-00949,2024-02-18,P-CS-BS-003,檢測與包裝,檢測-M4,7201.82,7165.81,36.01,12.7,479.56,0.005
WO-2024-M12-00950,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M5,1183.9,1177.98,5.92,0.4,16.89,0.005
WO-2024-M12-00950,2024-02-18,P-M12-EH-001,抽線,抽線-M4,1177.98,1160.31,17.67,9,101.32,0.015
WO-2024-M12-00950,2024-02-18,P-M12-EH-001,成型,成型-M2,1160.31,1125.5,34.81,3.3,151.98,0.03
WO-2024-M12-00950,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M2,1125.5,1119.87,5.63,2.4,67.55,0.005
WO-2024-M10-00951,2024-02-18,P-M10-BN-002,盤元進料/酸洗,盤元-M5,248.6,247.36,1.24,0.1,3.92,0.005
WO-2024-M10-00951,2024-02-18,P-M10-BN-002,抽線,抽線-M4,247.36,243.65,3.71,1.5,23.54,0.015
WO-2024-M10-00951,2024-02-18,P-M10-BN-002,成型,成型-M2,243.65,236.34,7.31,1.2,35.31,0.03
WO-2024-M10-00951,2024-02-18,P-M10-BN-002,檢測與包裝,檢測-M4,236.34,235.16,1.18,0.4,15.69,0.005
WO-2024-M12-00952,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M4,971.1,966.24,4.86,0.9,13.85,0.005
WO-2024-M12-00952,2024-02-18,P-M12-EH-001,抽線,抽線-M2,966.24,951.75,14.49,1.9,83.1,0.015
WO-2024-M12-00952,2024-02-18,P-M12-EH-001,成型,成型-M2,951.75,923.2,28.55,7.9,124.65,0.03
WO-2024-M12-00952,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M4,923.2,918.58,4.62,2.6,55.4,0.005
WO-2024-M12-00953,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M3,1846.2,1836.97,9.23,1.2,26.33,0.005
WO-2024-M12-00953,2024-02-18,P-M12-EH-001,抽線,抽線-M2,1836.97,1809.42,27.55,8.1,157.99,0.015
WO-2024-M12-00953,2024-02-18,P-M12-EH-001,成型,成型-M2,1809.42,1755.14,54.28,11,236.99,0.03
WO-2024-M12-00953,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M1,1755.14,1746.36,8.78,3.5,105.33,0.005
WO-2024-CS-00954,2024-02-18,P-CS-BS-003,盤元進料/酸洗,盤元-M1,13220.4,13154.3,66.1,7.6,209.23,0.005
WO-2024-CS-00954,2024-02-18,P-CS-BS-003,抽線,抽線-M1,13154.3,12956.99,197.31,36,1255.37,0.015
WO-2024-CS-00954,2024-02-18,P-CS-BS-003,成型,成型-M5,12956.99,12568.28,388.71,76.7,1883.05,0.03
WO-2024-CS-00954,2024-02-18,P-CS-BS-003,檢測與包裝,檢測-M1,12568.28,12505.44,62.84,55.5,836.91,0.005
WO-2024-M10-00955,2024-02-18,P-M10-BN-002,盤元進料/酸洗,盤元-M3,411.1,409.04,2.06,0.3,6.49,0.005
WO-2024-M10-00955,2024-02-18,P-M10-BN-002,抽線,抽線-M1,409.04,402.9,6.14,2.1,38.93,0.015
WO-2024-M10-00955,2024-02-18,P-M10-BN-002,成型,成型-M4,402.9,390.81,12.09,4.8,58.39,0.03
WO-2024-M10-00955,2024-02-18,P-M10-BN-002,檢測與包裝,檢測-M2,390.81,388.86,1.95,0.8,25.95,0.005
WO-2024-M12-00956,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M2,3319.7,3303.1,16.6,2,47.35,0.005
WO-2024-M12-00956,2024-02-18,P-M12-EH-001,抽線,抽線-M4,3303.1,3253.55,49.55,7.3,284.09,0.015
WO-2024-M12-00956,2024-02-18,P-M12-EH-001,成型,成型-M5,3253.55,3155.94,97.61,25.7,426.14,0.03
WO-2024-M12-00956,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M2,3155.94,3140.16,15.78,18.1,189.4,0.005
WO-2024-M10-00957,2024-02-18,P-M10-BN-002,盤元進料/酸洗,盤元-M1,332.3,330.64,1.66,0.1,5.24,0.005
WO-2024-M10-00957,2024-02-18,P-M10-BN-002,抽線,抽線-M4,330.64,325.68,4.96,0.8,31.46,0.015
WO-2024-M10-00957,2024-02-18,P-M10-BN-002,成型,成型-M2,325.68,315.91,9.77,1.7,47.2,0.03
WO-2024-M10-00957,2024-02-18,P-M10-BN-002,檢測與包裝,檢測-M1,315.91,314.33,1.58,0.6,20.98,0.005
WO-2024-M12-00958,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M5,2418.7,2406.61,12.09,0.9,34.5,0.005
WO-2024-M12-00958,2024-02-18,P-M12-EH-001,抽線,抽線-M2,2406.61,2370.51,36.1,5.6,206.99,0.015
WO-2024-M12-00958,2024-02-18,P-M12-EH-001,成型,成型-M1,2370.51,2299.39,71.12,7.9,310.48,0.03
WO-2024-M12-00958,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M1,2299.39,2287.89,11.5,2.8,137.99,0.005
WO-2024-M12-00959,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M4,2258.7,2247.41,11.29,0.8,32.22,0.005
WO-2024-M12-00959,2024-02-18,P-M12-EH-001,抽線,抽線-M3,2247.41,2213.7,33.71,4.4,193.29,0.015
WO-2024-M12-00959,2024-02-18,P-M12-EH-001,成型,成型-M5,2213.7,2147.29,66.41,9.6,289.94,0.03
WO-2024-M12-00959,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M1,2147.29,2136.55,10.74,4.7,128.86,0.005
WO-2024-CS-00960,2024-02-18,P-CS-BS-003,盤元進料/酸洗,盤元-M5,10417.8,10365.71,52.09,3.5,164.87,0.005
WO-2024-CS-00960,2024-02-18,P-CS-BS-003,抽線,抽線-M5,10365.71,10210.22,155.49,97.6,989.24,0.015
WO-2024-CS-00960,2024-02-18,P-CS-BS-003,成型,成型-M4,10210.22,9903.91,306.31,57.5,1483.86,0.03
WO-2024-CS-00960,2024-02-18,P-CS-BS-003,檢測與包裝,檢測-M4,9903.91,9854.39,49.52,62.8,659.49,0.005
WO-2024-M12-00961,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M2,3067.7,3052.36,15.34,2.5,43.75,0.005
WO-2024-M12-00961,2024-02-18,P-M12-EH-001,抽線,抽線-M4,3052.36,3006.57,45.79,23.5,262.53,0.015
WO-2024-M12-00961,2024-02-18,P-M12-EH-001,成型,成型-M3,3006.57,2916.37,90.2,13,393.79,0.03
WO-2024-M12-00961,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M2,2916.37,2901.79,14.58,4.6,175.02,0.005
WO-2024-CS-00962,2024-02-18,P-CS-BS-003,盤元進料/酸洗,盤元-M1,10005.4,9955.37,50.03,9,158.35,0.005
WO-2024-CS-00962,2024-02-18,P-CS-BS-003,抽線,抽線-M2,9955.37,9806.04,149.33,33.8,950.08,0.015
WO-2024-CS-00962,2024-02-18,P-CS-BS-003,成型,成型-M4,9806.04,9511.86,294.18,85.2,1425.12,0.03
WO-2024-CS-00962,2024-02-18,P-CS-BS-003,檢測與包裝,檢測-M1,9511.86,9464.3,47.56,36.7,633.39,0.005
WO-2024-CS-00963,2024-02-18,P-CS-BS-003,盤元進料/酸洗,盤元-M1,10071.4,10021.04,50.36,11.1,159.39,0.005
WO-2024-CS-00963,2024-02-18,P-CS-BS-003,抽線,抽線-M2,10021.04,9870.72,150.32,22.6,956.35,0.015
WO-2024-CS-00963,2024-02-18,P-CS-BS-003,成型,成型-M1,9870.72,9574.6,296.12,110.3,1434.52,0.03
WO-2024-CS-00963,2024-02-18,P-CS-BS-003,檢測與包裝,檢測-M5,9574.6,9526.73,47.87,33.8,637.56,0.005
WO-2024-M12-00964,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M1,2120.7,2110.1,10.6,1.1,30.25,0.005
WO-2024-M12-00964,2024-02-18,P-M12-EH-001,抽線,抽線-M5,2110.1,2078.45,31.65,5.3,181.49,0.015
WO-2024-M12-00964,2024-02-18,P-M12-EH-001,成型,成型-M3,2078.45,2016.1,62.35,5.6,272.23,0.03
WO-2024-M12-00964,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M1,2016.1,2006.02,10.08,5.9,120.99,0.005
WO-2024-M12-00965,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M3,1388.7,1381.76,6.94,0.6,19.81,0.005
WO-2024-M12-00965,2024-02-18,P-M12-EH-001,抽線,抽線-M2,1381.76,1361.03,20.73,5.7,118.84,0.015
WO-2024-M12-00965,2024-02-18,P-M12-EH-001,成型,成型-M3,1361.03,1320.2,40.83,4.9,178.26,0.03
WO-2024-M12-00965,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M2,1320.2,1313.6,6.6,4.8,79.23,0.005
WO-2024-M12-00966,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M5,2593.4,2580.43,12.97,1.9,36.99,0.005
WO-2024-M12-00966,2024-02-18,P-M12-EH-001,抽線,抽線-M3,2580.43,2541.72,38.71,7,221.94,0.015
WO-2024-M12-00966,2024-02-18,P-M12-EH-001,成型,成型-M3,2541.72,2465.47,76.25,7.4,332.91,0.03
WO-2024-M12-00966,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M3,2465.47,2453.14,12.33,3.8,147.96,0.005
WO-2024-M12-00967,2024-02-18,P-M12-EH-001,盤元進料/酸洗,盤元-M1,1427.6,1420.46,7.14,0.4,20.36,0.005
WO-2024-M12-00967,2024-02-18,P-M12-EH-001,抽線,抽線-M3,1420.46,1399.15,21.31,2.6,122.17,0.015
WO-2024-M12-00967,2024-02-18,P-M12-EH-001,成型,成型-M3,1399.15,1357.18,41.97,4.8,183.26,0.03
WO-2024-M12-00967,2024-02-18,P-M12-EH-001,檢測與包裝,檢測-M5,1357.18,1350.39,6.79,4.6,81.45,0.005
WO-2024-M12-00968,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M2,1354.3,1347.53,6.77,0.4,19.32,0.005
WO-2024-M12-00968,2024-02-19,P-M12-EH-001,抽線,抽線-M2,1347.53,1327.32,20.21,3.4,115.9,0.015
WO-2024-M12-00968,2024-02-19,P-M12-EH-001,成型,成型-M1,1327.32,1287.5,39.82,14.8,173.84,0.03
WO-2024-M12-00968,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M2,1287.5,1281.06,6.44,2.2,77.26,0.005
WO-2024-CS-00969,2024-02-19,P-CS-BS-003,盤元進料/酸洗,盤元-M4,2913.4,2898.83,14.57,3,46.11,0.005
WO-2024-CS-00969,2024-02-19,P-CS-BS-003,抽線,抽線-M3,2898.83,2855.35,43.48,8.4,276.65,0.015
WO-2024-CS-00969,2024-02-19,P-CS-BS-003,成型,成型-M2,2855.35,2769.69,85.66,9.5,414.97,0.03
WO-2024-CS-00969,2024-02-19,P-CS-BS-003,檢測與包裝,檢測-M3,2769.69,2755.84,13.85,5,184.43,0.005
WO-2024-CS-00970,2024-02-19,P-CS-BS-003,盤元進料/酸洗,盤元-M1,3341.2,3324.49,16.71,1.6,52.88,0.005
WO-2024-CS-00970,2024-02-19,P-CS-BS-003,抽線,抽線-M1,3324.49,3274.62,49.87,7.2,317.27,0.015
WO-2024-CS-00970,2024-02-19,P-CS-BS-003,成型,成型-M5,3274.62,3176.38,98.24,21.3,475.91,0.03
WO-2024-CS-00970,2024-02-19,P-CS-BS-003,檢測與包裝,檢測-M3,3176.38,3160.5,15.88,4.5,211.51,0.005
WO-2024-M12-00971,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M2,3191.4,3175.44,15.96,3.3,45.52,0.005
WO-2024-M12-00971,2024-02-19,P-M12-EH-001,抽線,抽線-M4,3175.44,3127.81,47.63,8.9,273.12,0.015
WO-2024-M12-00971,2024-02-19,P-M12-EH-001,成型,成型-M1,3127.81,3033.98,93.83,20.8,409.68,0.03
WO-2024-M12-00971,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M1,3033.98,3018.81,15.17,4.8,182.08,0.005
WO-2024-M10-00972,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M4,743.7,739.98,3.72,0.2,11.74,0.005
WO-2024-M10-00972,2024-02-19,P-M10-BN-002,抽線,抽線-M4,739.98,728.88,11.1,1.4,70.42,0.015
WO-2024-M10-00972,2024-02-19,P-M10-BN-002,成型,成型-M2,728.88,707.01,21.87,9.8,105.63,0.03
WO-2024-M10-00972,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M4,707.01,703.47,3.54,1.7,46.95,0.005
WO-2024-M10-00973,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M3,679,675.6,3.4,0.5,10.71,0.005
WO-2024-M10-00973,2024-02-19,P-M10-BN-002,抽線,抽線-M3,675.6,665.47,10.13,2.6,64.29,0.015
WO-2024-M10-00973,2024-02-19,P-M10-BN-002,成型,成型-M4,665.47,645.51,19.96,3.7,96.43,0.03
WO-2024-M10-00973,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M3,645.51,642.28,3.23,1.8,42.86,0.005
WO-2024-M12-00974,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M3,2213.9,2202.83,11.07,0.8,31.58,0.005
WO-2024-M12-00974,2024-02-19,P-M12-EH-001,抽線,抽線-M2,2202.83,2169.79,33.04,4,189.46,0.015
WO-2024-M12-00974,2024-02-19,P-M12-EH-001,成型,成型-M3,2169.79,2104.7,65.09,14.2,284.19,0.03
WO-2024-M12-00974,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M4,2104.7,2094.18,10.52,10.7,126.31,0.005
WO-2024-M10-00975,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M3,820.2,816.1,4.1,0.4,12.94,0.005
WO-2024-M10-00975,2024-02-19,P-M10-BN-002,抽線,抽線-M5,816.1,803.86,12.24,1.6,77.65,0.015
WO-2024-M10-00975,2024-02-19,P-M10-BN-002,成型,成型-M4,803.86,779.74,24.12,3.5,116.48,0.03
WO-2024-M10-00975,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M5,779.74,775.84,3.9,1.8,51.77,0.005
WO-2024-CS-00976,2024-02-19,P-CS-BS-003,盤元進料/酸洗,盤元-M4,12566.7,12503.87,62.83,5.8,198.88,0.005
WO-2024-CS-00976,2024-02-19,P-CS-BS-003,抽線,抽線-M1,12503.87,12316.31,187.56,34.4,1193.29,0.015
WO-2024-CS-00976,2024-02-19,P-CS-BS-003,成型,成型-M3,12316.31,11946.82,369.49,49.7,1789.93,0.03
WO-2024-CS-00976,2024-02-19,P-CS-BS-003,檢測與包裝,檢測-M3,11946.82,11887.09,59.73,21.4,795.53,0.005
WO-2024-M10-00977,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M2,483.6,481.18,2.42,0.3,7.63,0.005
WO-2024-M10-00977,2024-02-19,P-M10-BN-002,抽線,抽線-M5,481.18,473.96,7.22,1.2,45.79,0.015
WO-2024-M10-00977,2024-02-19,P-M10-BN-002,成型,成型-M1,473.96,459.74,14.22,4.6,68.68,0.03
WO-2024-M10-00977,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M2,459.74,457.44,2.3,1.9,30.52,0.005
WO-2024-M10-00978,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M3,584.4,581.48,2.92,0.5,9.22,0.005
WO-2024-M10-00978,2024-02-19,P-M10-BN-002,抽線,抽線-M5,581.48,572.76,8.72,1.6,55.34,0.015
WO-2024-M10-00978,2024-02-19,P-M10-BN-002,成型,成型-M1,572.76,555.58,17.18,2.8,83,0.03
WO-2024-M10-00978,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M2,555.58,552.8,2.78,1.6,36.89,0.005
WO-2024-M12-00979,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M4,1271.5,1265.14,6.36,0.8,18.14,0.005
WO-2024-M12-00979,2024-02-19,P-M12-EH-001,抽線,抽線-M3,1265.14,1246.16,18.98,2.2,108.81,0.015
WO-2024-M12-00979,2024-02-19,P-M12-EH-001,成型,成型-M5,1246.16,1208.78,37.38,8.6,163.22,0.03
WO-2024-M12-00979,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M3,1208.78,1202.74,6.04,3.7,72.54,0.005
WO-2024-M10-00980,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M1,650.8,647.55,3.25,0.4,10.27,0.005
WO-2024-M10-00980,2024-02-19,P-M10-BN-002,抽線,抽線-M5,647.55,637.84,9.71,1.4,61.62,0.015
WO-2024-M10-00980,2024-02-19,P-M10-BN-002,成型,成型-M2,637.84,618.7,19.14,1.9,92.43,0.03
WO-2024-M10-00980,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M5,618.7,615.61,3.09,1.3,41.08,0.005
WO-2024-M10-00981,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M4,805.6,801.57,4.03,0.3,12.71,0.005
WO-2024-M10-00981,2024-02-19,P-M10-BN-002,抽線,抽線-M4,801.57,789.55,12.02,2.7,76.27,0.015
WO-2024-M10-00981,2024-02-19,P-M10-BN-002,成型,成型-M4,789.55,765.86,23.69,2.9,114.41,0.03
WO-2024-M10-00981,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M1,765.86,762.03,3.83,1.1,50.85,0.005
WO-2024-M10-00982,2024-02-19,P-M10-BN-002,盤元進料/酸洗,盤元-M5,308.1,306.56,1.54,0.2,4.86,0.005
WO-2024-M10-00982,2024-02-19,P-M10-BN-002,抽線,抽線-M4,306.56,301.96,4.6,1.2,29.18,0.015
WO-2024-M10-00982,2024-02-19,P-M10-BN-002,成型,成型-M5,301.96,292.9,9.06,1.1,43.76,0.03
WO-2024-M10-00982,2024-02-19,P-M10-BN-002,檢測與包裝,檢測-M4,292.9,291.44,1.46,1.4,19.45,0.005
WO-2024-M12-00983,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M1,1226.4,1220.27,6.13,0.5,17.49,0.005
WO-2024-M12-00983,2024-02-19,P-M12-EH-001,抽線,抽線-M3,1220.27,1201.97,18.3,3.1,104.95,0.015
WO-2024-M12-00983,2024-02-19,P-M12-EH-001,成型,成型-M3,1201.97,1165.91,36.06,4.1,157.42,0.03
WO-2024-M12-00983,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M4,1165.91,1160.08,5.83,3.4,69.97,0.005
WO-2024-CS-00984,2024-02-19,P-CS-BS-003,盤元進料/酸洗,盤元-M2,7760,7721.2,38.8,3.8,122.81,0.005
WO-2024-CS-00984,2024-02-19,P-CS-BS-003,抽線,抽線-M1,7721.2,7605.38,115.82,47.4,736.87,0.015
WO-2024-CS-00984,2024-02-19,P-CS-BS-003,成型,成型-M1,7605.38,7377.22,228.16,25.1,1105.3,0.03
WO-2024-CS-00984,2024-02-19,P-CS-BS-003,檢測與包裝,檢測-M2,7377.22,7340.33,36.89,11,491.24,0.005
WO-2024-CS-00985,2024-02-19,P-CS-BS-003,盤元進料/酸洗,盤元-M4,12495.6,12433.12,62.48,5.4,197.76,0.005
WO-2024-CS-00985,2024-02-19,P-CS-BS-003,抽線,抽線-M4,12433.12,12246.62,186.5,26.8,1186.54,0.015
WO-2024-CS-00985,2024-02-19,P-CS-BS-003,成型,成型-M3,12246.62,11879.22,367.4,47.4,1779.8,0.03
WO-2024-CS-00985,2024-02-19,P-CS-BS-003,檢測與包裝,檢測-M3,11879.22,11819.82,59.4,35.8,791.02,0.005
WO-2024-M12-00986,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M4,2251.5,2240.24,11.26,0.7,32.11,0.005
WO-2024-M12-00986,2024-02-19,P-M12-EH-001,抽線,抽線-M1,2240.24,2206.64,33.6,5,192.68,0.015
WO-2024-M12-00986,2024-02-19,P-M12-EH-001,成型,成型-M2,2206.64,2140.44,66.2,9.2,289.02,0.03
WO-2024-M12-00986,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M4,2140.44,2129.74,10.7,4.6,128.45,0.005
WO-2024-M12-00987,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M1,2669.1,2655.75,13.35,1.6,38.07,0.005
WO-2024-M12-00987,2024-02-19,P-M12-EH-001,抽線,抽線-M2,2655.75,2615.91,39.84,7.8,228.41,0.015
WO-2024-M12-00987,2024-02-19,P-M12-EH-001,成型,成型-M3,2615.91,2537.43,78.48,12.3,342.62,0.03
WO-2024-M12-00987,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M1,2537.43,2524.74,12.69,4.1,152.28,0.005
WO-2024-M12-00988,2024-02-19,P-M12-EH-001,盤元進料/酸洗,盤元-M1,1276.5,1270.12,6.38,0.6,18.21,0.005
WO-2024-M12-00988,2024-02-19,P-M12-EH-001,抽線,抽線-M4,1270.12,1251.07,19.05,3.2,109.24,0.015
WO-2024-M12-00988,2024-02-19,P-M12-EH-001,成型,成型-M2,1251.07,1213.54,37.53,3.4,163.86,0.03
WO-2024-M12-00988,2024-02-19,P-M12-EH-001,檢測與包裝,檢測-M1,1213.54,1207.47,6.07,2,72.83,0.005
WO-2024-CS-00989,2024-02-20,P-CS-BS-003,盤元進料/酸洗,盤元-M3,9855.5,9806.22,49.28,9.6,155.97,0.005
WO-2024-CS-00989,2024-02-20,P-CS-BS-003,抽線,抽線-M4,9806.22,9659.13,147.09,82.2,935.84,0.015
WO-2024-CS-00989,2024-02-20,P-CS-BS-003,成型,成型-M5,9659.13,9369.36,289.77,29.6,1403.76,0.03
WO-2024-CS-00989,2024-02-20,P-CS-BS-003,檢測與包裝,檢測-M5,9369.36,9322.51,46.85,15.9,623.9,0.005
WO-2024-M12-00990,2024-02-20,P-M12-EH-001,盤元進料/酸洗,盤元-M1,2580.9,2568,12.9,2.5,36.81,0.005
WO-2024-M12-00990,2024-02-20,P-M12-EH-001,抽線,抽線-M4,2568,2529.48,38.52,6.8,220.87,0.015
WO-2024-M12-00990,2024-02-20,P-M12-EH-001,成型,成型-M4,2529.48,2453.6,75.88,6.9,331.3,0.03
WO-2024-M12-00990,2024-02-20,P-M12-EH-001,檢測與包裝,檢測-M4,2453.6,2441.33,12.27,4.5,147.25,0.005
WO-2024-M12-00991,2024-02-20,P-M12-EH-001,盤元進料/酸洗,盤元-M1,1866.5,1857.17,9.33,2.3,26.62,0.005
WO-2024-M12-00991,2024-02-20,P-M12-EH-001,抽線,抽線-M5,1857.17,1829.31,27.86,8.5,159.73,0.015
WO-2024-M12-00991,2024-02-20,P-M12-EH-001,成型,成型-M4,1829.31,1774.43,54.88,8,239.59,0.03
WO-2024-M12-00991,2024-02-20,P-M12-EH-001,檢測與包裝,檢測-M3,1774.43,1765.56,8.87,7.5,106.49,0.005
WO-2024-M10-00992,2024-02-20,P-M10-BN-002,盤元進料/酸洗,盤元-M1,461.4,459.09,2.31,0.2,7.28,0.005
WO-2024-M10-00992,2024-02-20,P-M10-BN-002,抽線,抽線-M5,459.09,452.2,6.89,1.5,43.69,0.015
WO-2024-M10-00992,2024-02-20,P-M10-BN-002,成型,成型-M1,452.2,438.63,13.57,1.6,65.53,0.03
WO-2024-M10-00992,2024-02-20,P-M10-BN-002,檢測與包裝,檢測-M3,438.63,436.44,2.19,1,29.12,0.005
WO-2024-M10-00993,2024-02-20,P-M10-BN-002,盤元進料/酸洗,盤元-M3,557,554.21,2.79,0.6,8.79,0.005
WO-2024-M10-00993,2024-02-20,P-M10-BN-002,抽線,抽線-M2,554.21,545.9,8.31,1.9,52.73,0.015
WO-2024-M10-00993,2024-02-20,P-M10-BN-002,成型,成型-M4,545.9,529.52,16.38,3.9,79.1,0.03
WO-2024-M10-00993,2024-02-20,P-M10-BN-002,檢測與包裝,檢測-M5,529.52,526.87,2.65,1.1,35.16,0.005
WO-2024-CS-00994,2024-02-20,P-CS-BS-003,盤元進料/酸洗,盤元-M4,4048.4,4028.16,20.24,2.8,64.07,0.005
WO-2024-CS-00994,2024-02-20,P-CS-BS-003,抽線,抽線-M3,4028.16,3967.74,60.42,28.1,384.42,0.015
WO-2024-CS-00994,2024-02-20,P-CS-BS-003,成型,成型-M3,3967.74,3848.71,119.03,17.6,576.63,0.03
WO-2024-CS-00994,2024-02-20,P-CS-BS-003,檢測與包裝,檢測-M1,3848.71,3829.47,19.24,15.6,256.28,0.005
WO-2024-M10-00995,2024-02-20,P-M10-BN-002,盤元進料/酸洗,盤元-M5,492.8,490.34,2.46,0.5,7.78,0.005
WO-2024-M10-00995,2024-02-20,P-M10-BN-002,抽線,抽線-M4,490.34,482.98,7.36,2.1,46.66,0.015
WO-2024-M10-00995,2024-02-20,P-M10-BN-002,成型,成型-M2,482.98,468.49,14.49,3.4,69.99,0.03
WO-2024-M10-00995,2024-02-20,P-M10-BN-002,檢測與包裝,檢測-M1,468.49,466.15,2.34,1.8,31.1,0.005
WO-2024-M12-00996,2024-02-20,P-M12-EH-001,盤元進料/酸洗,盤元-M1,3097.3,3081.81,15.49,1.5,44.18,0.005
WO-2024-M12-00996,2024-02-20,P-M12-EH-001,抽線,抽線-M3,3081.81,3035.58,46.23,8,265.06,0.015
WO-2024-M12-00996,2024-02-20,P-M12-EH-001,成型,成型-M5,3035.58,2944.51,91.07,12,397.59,0.03
WO-2024-M12-00996,2024-02-20,P-M12-EH-001,檢測與包裝,檢測-M2,2944.51,2929.79,14.72,9,176.7,0.005
WO-2024-M10-00997,2024-02-20,P-M10-BN-002,盤元進料/酸洗,盤元-M5,307.6,306.06,1.54,0.1,4.85,0.005
WO-2024-M10-00997,2024-02-20,P-M10-BN-002,抽線,抽線-M5,306.06,301.47,4.59,0.7,29.12,0.015
WO-2024-M10-00997,2024-02-20,P-M10-BN-002,成型,成型-M3,301.47,292.43,9.04,1.3,43.69,0.03
WO-2024-M10-00997,2024-02-20,P-M10-BN-002,檢測與包裝,檢測-M3,292.43,290.97,1.46,0.5,19.42,0.005
WO-2024-M12-00998,2024-02-20,P-M12-EH-001,盤元進料/酸洗,盤元-M1,2913.4,2898.83,14.57,1.1,41.55,0.005
WO-2024-M12-00998,2024-02-20,P-M12-EH-001,抽線,抽線-M4,2898.83,2855.35,43.48,7.9,249.32,0.015
WO-2024-M12-00998,2024-02-20,P-M12-EH-001,成型,成型-M2,2855.35,2769.69,85.66,16.6,373.98,0.03
WO-2024-M12-00998,2024-02-20,P-M12-EH-001,檢測與包裝,檢測-M3,2769.69,2755.84,13.85,5.4,166.21,0.005
WO-2024-M10-00999,2024-02-20,P-M10-BN-002,盤元進料/酸洗,盤元-M1,726.9,723.27,3.63,0.6,11.47,0.005
WO-2024-M10-00999,2024-02-20,P-M10-BN-002,抽線,抽線-M1,723.27,712.42,10.85,3.6,68.82,0.015
WO-2024-M10-00999,2024-02-20,P-M10-BN-002,成型,成型-M4,712.42,691.05,21.37,5.8,103.24,0.03
WO-2024-M10-00999,2024-02-20,P-M10-BN-002,檢測與包裝,檢測-M3,691.05,687.59,3.46,1.1,45.88,0.005
WO-2024-CS-01000,2024-02-20,P-CS-BS-003,盤元進料/酸洗,盤元-M2,9531.9,9484.24,47.66,7.4,150.85,0.005
WO-2024-CS-01000,2024-02-20,P-CS-BS-003,抽線,抽線-M4,9484.24,9341.98,142.26,43.3,905.12,0.015
